window ||| "6fdec950-7e3d-46e1-b162-d68b54df2c60.txt - action-recorder - Visual Studio Code"
window ||| "Settings"
window ||| "Settings"
window ||| "pynput \u00b7 PyPI and 7 more pages - Nathan Pham - Microsoft\u200b Edge"
window ||| "Getting Started with Pipenv"
window ||| "Mail"
window ||| "Inbox - Gmail \u200e- Mail"
window ||| "Windows Input Experience"
window ||| "Program Manager"
mouse_move ||| ["1174", "844"]
mouse_move ||| ["1176", "864"]
mouse_move ||| ["1178", "877"]
mouse_move ||| ["1180", "880"]
mouse_move ||| ["1182", "896"]
mouse_move ||| ["1184", "908"]
mouse_move ||| ["1186", "923"]
mouse_move ||| ["1188", "936"]
mouse_move ||| ["1190", "948"]
mouse_move ||| ["1192", "953"]
mouse_move ||| ["1193", "960"]
mouse_move ||| ["1193", "964"]
mouse_move ||| ["1195", "967"]
mouse_move ||| ["1195", "970"]
mouse_move ||| ["1196", "975"]
mouse_move ||| ["1198", "980"]
mouse_move ||| ["1199", "983"]
mouse_move ||| ["1199", "988"]
mouse_move ||| ["1201", "992"]
mouse_move ||| ["1201", "997"]
mouse_move ||| ["1203", "1002"]
mouse_move ||| ["1203", "1005"]
mouse_move ||| ["1203", "1009"]
mouse_move ||| ["1203", "1014"]
mouse_move ||| ["1203", "1017"]
mouse_click ||| ["1203", "1017", "True"]
mouse_click ||| ["1203", "1017", "False"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["h"]
keyboard_release ||| ["h"]
keyboard_press ||| ["e"]
keyboard_press ||| ["l"]
keyboard_release ||| ["e"]
keyboard_release ||| ["l"]
keyboard_press ||| ["l"]
keyboard_release ||| ["l"]
keyboard_press ||| ["o"]
keyboard_release ||| ["o"]
keyboard_press ||| ["Key.space"]
keyboard_release ||| ["Key.space"]
keyboard_press ||| ["w"]
keyboard_press ||| ["o"]
keyboard_release ||| ["w"]
keyboard_press ||| ["r"]
keyboard_release ||| ["o"]
keyboard_press ||| ["l"]
keyboard_release ||| ["r"]
keyboard_release ||| ["l"]
keyboard_press ||| ["d"]
keyboard_release ||| ["d"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["a"]
keyboard_press ||| ["n"]
keyboard_release ||| ["a"]
keyboard_release ||| ["n"]
keyboard_press ||| ["o"]
keyboard_release ||| ["o"]
keyboard_press ||| ["t"]
keyboard_press ||| ["h"]
keyboard_release ||| ["t"]
keyboard_press ||| ["e"]
keyboard_release ||| ["h"]
keyboard_press ||| ["r"]
keyboard_press ||| ["Key.space"]
keyboard_release ||| ["e"]
keyboard_release ||| ["r"]
keyboard_press ||| ["t"]
keyboard_release ||| ["Key.space"]
keyboard_press ||| ["e"]
keyboard_release ||| ["t"]
keyboard_press ||| ["s"]
keyboard_press ||| ["t"]
keyboard_release ||| ["s"]
keyboard_release ||| ["e"]
keyboard_release ||| ["t"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["Key.enter"]
keyboard_release ||| ["Key.enter"]
keyboard_press ||| ["w"]
keyboard_release ||| ["w"]
keyboard_press ||| ["o"]
keyboard_press ||| ["w"]
keyboard_release ||| ["o"]
keyboard_release ||| ["w"]
keyboard_press ||| ["Key.ctrl_l"]
keyboard_press ||| ["\u0013"]
keyboard_release ||| ["\u0013"]
keyboard_release ||| ["Key.ctrl_l"]
mouse_move ||| ["1202", "1017"]
mouse_move ||| ["1200", "1017"]
mouse_move ||| ["1197", "1017"]
mouse_move ||| ["1196", "1015"]
mouse_move ||| ["1196", "1013"]
mouse_move ||| ["1196", "1012"]
mouse_move ||| ["1196", "1009"]
mouse_move ||| ["1197", "1004"]
mouse_move ||| ["1198", "997"]
mouse_move ||| ["1198", "991"]
mouse_move ||| ["1200", "988"]
mouse_move ||| ["1200", "983"]
mouse_move ||| ["1201", "980"]
mouse_move ||| ["1201", "977"]
mouse_move ||| ["1201", "971"]
mouse_move ||| ["1203", "968"]
mouse_move ||| ["1203", "963"]
mouse_move ||| ["1203", "960"]
mouse_move ||| ["1203", "959"]
mouse_move ||| ["1203", "958"]
mouse_move ||| ["1204", "956"]
mouse_move ||| ["1204", "955"]
mouse_move ||| ["1205", "952"]
mouse_move ||| ["1205", "948"]
mouse_move ||| ["1207", "945"]
mouse_move ||| ["1207", "940"]
mouse_move ||| ["1208", "937"]
mouse_move ||| ["1208", "936"]
mouse_move ||| ["1208", "933"]
mouse_move ||| ["1210", "933"]
mouse_move ||| ["1210", "932"]
